2012-01-18,14
2012-02-20,64
2012-02-23,92
2012-03-07,131
2012-03-26,169
2012-03-28,204
2012-04-02,239
2012-04-14,271
2012-04-30,315
2012-05-07,370
2012-05-14,411
2012-05-16,449
2012-05-22,488
2012-06-18,508
2012-06-28,536
2012-07-09,572
2012-07-10,596
2012-07-12,636
2012-07-16,676
2012-07-19,715
2012-09-13,748
2012-09-17,782
2012-09-28,821
2012-10-08,863
2012-10-17,903
2012-10-18,965
2012-10-20,994
2012-10-22,1025
2012-10-23,1059
2012-10-25,1066
2012-10-30,1084
2012-11-08,1115
2012-11-10,1136
2012-11-15,1175
2012-11-28,1216
2012-11-30,1262
2012-12-04,1298
2012-12-10,1377
2013-01-11,1395
2013-01-12,1449
2013-01-12,1489
2013-01-12,1513
2013-01-21,1537
2013-01-22,1562
2013-01-24,1590
2013-01-25,1630
2013-01-30,1763
2013-01-31,1798
2013-02-05,1828
2013-02-07,1866
2013-02-14,1934
2013-02-25,2026
2013-03-04,2082
2013-03-07,2115
2013-03-20,2140
2013-03-23,2176
2013-03-24,2196
2013-04-04,2231
2013-04-04,2262
2013-04-08,2272
2013-04-13,2292
2013-04-13,2316
2013-04-18,2344
2013-04-20,2369
2013-04-27,2384
2013-04-29,2414
2013-05-02,2453
2013-05-06,2485
2013-05-06,2520
2013-05-06,2570
2013-05-09,2594
2013-05-09,2622
2013-05-09,2652
2013-05-13,2688
2013-05-16,2700
2013-05-18,2728
2013-05-20,2768
2013-05-23,2784
2013-05-23,2823
2013-05-30,2860
2013-06-03,2908
2013-06-03,2960
2013-06-04,3003
2013-06-06,3040
2013-06-09,3076
2013-06-17,3120
2013-06-24,3238
2013-07-01,3257
2013-07-01,3297
2013-07-03,3328
2013-07-08,3352
2013-07-11,3380
2013-07-15,3404
2013-07-18,3445
2013-07-18,3477
2013-07-25,3517
2013-07-27,3555
2013-08-04,3567
2013-08-22,3608
2013-08-27,3642
2013-08-28,3676
2013-09-05,3707
2013-09-12,3734
2013-09-16,3761
2013-09-16,3779
2013-09-19,3828
2013-09-21,3872
2013-09-23,3909
2013-09-24,3929
2013-09-26,3953
2013-09-26,3985
2013-10-01,4012
2013-10-03,4031
2013-10-09,4066
2013-10-17,4106
2013-10-24,4142
2013-11-14,4165
2013-11-18,4197
2013-11-23,4217
2013-11-25,4253
2013-12-03,4287
2013-12-12,4330
2014-01-13,4351
2014-01-21,4391
